policy,scene_seed,success,false_confirmation,timeout,stopped,steps,total_reward,final_true_ratio,final_rgb_texture_ratio,final_height_ratio,actions
ppo_seed_202,6517965,1,0,0,1,11,3.4,0.2881,0.23360000550746918,0.2849999964237213,0-0-0-0-1-1-1-1-0-1-3
ppo_seed_202,7822671,1,0,0,1,3,4.6000000000000005,0.2874,0.2249000072479248,0.28529998660087585,0-0-3
ppo_seed_202,4198655,0,0,1,0,15,-1.75,0.0,0.1062999963760376,0.0,0-0-0-0-0-0-1-1-1-0-1-1-1-1-0
ppo_seed_202,8310689,1,0,0,1,5,4.3,0.3777,0.2102999985218048,0.374099999666214,0-0-0-1-3
ppo_seed_202,4293372,1,0,0,1,4,4.449999999999999,0.1409,0.14650000631809235,0.13940000534057617,0-0-0-3
ppo_seed_202,2561867,0,1,0,1,12,-3.55,0.0941,0.10130000114440918,0.09350000321865082,0-0-0-0-0-0-0-1-0-1-1-3
ppo_seed_202,2921907,1,0,0,1,4,4.449999999999999,0.348,0.225600004196167,0.34389999508857727,1-1-1-3
ppo_seed_202,7538072,1,0,0,1,7,4.0,0.4115,0.18479999899864197,0.4074999988079071,0-0-0-0-0-0-3
ppo_seed_202,8081610,1,0,0,1,1,4.9,0.2555,0.22269999980926514,0.2524000108242035,3
ppo_seed_202,8328106,1,0,0,1,12,3.25,0.1479,0.15160000324249268,0.1467999964952469,0-0-0-0-0-0-0-1-1-1-0-3
ppo_seed_202,2098554,1,0,0,1,10,3.55,0.19,0.18539999425411224,0.18850000202655792,0-0-0-1-1-1-0-1-1-3
ppo_seed_202,4216933,1,0,0,1,3,4.6000000000000005,0.1509,0.15029999613761902,0.149399995803833,0-0-3
ppo_seed_202,5540021,1,0,0,1,12,3.25,0.1596,0.16189999878406525,0.15870000422000885,0-0-0-1-0-1-1-1-1-0-1-3
ppo_seed_202,4806817,1,0,0,1,4,4.449999999999999,0.2165,0.20160000026226044,0.2143000066280365,0-0-0-3
ppo_seed_202,8779472,1,0,0,1,3,4.6000000000000005,0.389,0.1860000044107437,0.38670000433921814,0-0-3
