#{"t_start": 1787939463.9337525, "env_id": "None"}
r,l,t
-3.5,11,77.076986
-3.3,7,77.108382
3.7,9,77.145941
-3.1,3,77.174412
-3.45,10,77.211071
4.0,7,77.245856
-3.3,7,77.28814
3.85,8,77.321829
3.25,12,77.361732
4.3,5,77.395991
3.4,11,77.435921
4.15,6,77.475071
3.55,10,77.517749
3.4,11,77.568331
3.85,8,77.603722
4.15,6,77.634572
-3.5,11,77.676823
-3.25,6,77.70662
-3.55,12,77.909954
3.7,9,77.954234
2.95,14,77.995148
4.15,6,78.025946
4.0,7,78.055474
4.15,6,78.086975
4.15,6,78.117139
3.85,8,78.156669
-3.45,10,78.197945
4.3,5,78.231371
3.85,8,78.269444
-1.75,15,78.324137
-3.35,8,78.359583
3.85,8,78.396473
4.15,6,78.423605
-3.55,12,78.463071
3.85,8,78.496955
3.85,8,78.533584
-3.1,3,78.560019
-3.45,10,78.594956
3.4,11,78.635437
-3.5,11,78.675096
4.0,7,78.704691
-3.3,7,78.736033
-3.25,6,78.765237
-3.55,12,78.807282
3.4,11,78.842472
3.1,13,78.890073
4.3,5,78.92151
4.15,6,79.115565
4.75,2,79.141593
3.7,9,79.179056
-3.15,4,79.214549
4.3,5,79.246661
4.3,5,79.27691
-3.35,8,79.31175
-3.25,6,79.343101
3.55,10,79.389572
-3.15,4,79.418293
-3.1,3,79.444124
-3.15,4,79.474392
-3.2,5,79.502014
4.3,5,79.531407
3.7,9,79.566015
-3.5,11,79.601752
3.55,10,79.636109
4.15,6,79.665871
4.45,4,79.694755
-3.5,11,79.735713
-3.0,1,79.759174
4.15,6,79.791903
4.45,4,79.818735
3.4,11,79.861247
4.6,3,79.890349
4.0,7,79.925823
-3.3,7,79.961645
3.85,8,80.005975
-3.35,8,80.045665
3.85,8,80.086923
-3.35,8,80.120692
-3.2,5,80.152982
3.4,11,80.195544
3.85,8,80.228425
-3.1,3,80.25599
4.15,6,80.28243
3.85,8,80.313878
4.0,7,80.344584
4.3,5,80.379043
4.0,7,80.410981
3.85,8,80.602403
3.55,10,80.640965
3.7,9,80.680341
-1.75,15,80.727437
-3.3,7,80.759732
3.85,8,80.793732
-3.25,6,80.825203
-3.25,6,80.857141
4.0,7,80.892946
-3.1,3,80.923571
3.7,9,80.959299
-3.7,15,81.008848
3.7,9,81.052273
3.55,10,81.094713
-3.55,12,81.134995
4.45,4,81.162942
-3.35,8,81.20019
4.3,5,81.230064
4.15,6,81.262124
4.6,3,81.287857
4.45,4,81.318579
3.7,9,81.354796
4.6,3,81.378141
3.4,11,81.422104
3.7,9,81.455768
4.45,4,81.482656
3.85,8,81.521828
3.4,11,81.565179
-3.2,5,81.594845
3.7,9,81.638405
3.85,8,81.674219
4.6,3,81.699858
4.0,7,81.735909
3.4,11,81.926374
4.15,6,81.958321
3.4,11,81.994831
-3.3,7,82.029285
-3.3,7,82.061705
-3.7,15,82.106563
-3.15,4,82.133103
3.55,10,82.182576
3.25,12,82.235921
-3.35,8,82.271901
-3.35,8,82.307388
3.55,10,82.351871
3.7,9,82.391705
-3.55,12,82.436072
-3.1,3,82.466133
-3.15,4,82.496136
-3.15,4,82.526489
-3.35,8,82.563144
4.3,5,82.599632
4.0,7,82.632154
-3.65,14,82.675075
4.15,6,82.708153
4.3,5,82.738913
-3.25,6,82.769102
3.85,8,82.812791
-3.25,6,82.843519
4.3,5,82.872631
4.3,5,82.904747
-3.05,2,82.928333
3.85,8,82.964312
-3.45,10,83.000985
4.75,2,83.033232
4.15,6,83.068105
-3.2,5,83.0979
-3.15,4,83.125503
-3.25,6,83.157187
-3.35,8,83.329909
-3.05,2,83.352697
4.45,4,83.384087
-3.2,5,83.4156
-3.1,3,83.442091
-3.15,4,83.469726
-3.3,7,83.505617
4.0,7,83.540277
-3.15,4,83.571004
4.3,5,83.59881
3.55,10,83.63998
-3.25,6,83.669442
4.0,7,83.705099
-3.2,5,83.743985
-3.2,5,83.775392
4.6,3,83.804699
-3.1,3,83.828418
4.75,2,83.855882
-3.15,4,83.88245
4.75,2,83.909412
-3.25,6,83.943363
-3.15,4,83.971527
-3.05,2,83.995369
4.45,4,84.032339
4.6,3,84.064672
4.15,6,84.101377
-3.1,3,84.127831
-3.4,9,84.16203
4.15,6,84.196736
4.0,7,84.229053
4.6,3,84.259688
-3.4,9,84.292139
4.0,7,84.325764
3.4,11,84.361822
-3.2,5,84.393041
4.45,4,84.422931
-3.65,14,84.463782
3.55,10,84.504431
-3.4,9,84.544205
-3.35,8,84.585081
4.45,4,84.615137
-3.25,6,84.652696
-3.55,12,84.691342
4.6,3,84.719274
-3.2,5,84.747481
-3.35,8,84.941989
4.0,7,84.97915
-3.5,11,85.01818
3.85,8,85.060926
3.55,10,85.105334
-3.35,8,85.145917
3.55,10,85.18951
4.3,5,85.222001
-3.3,7,85.253587
3.55,10,85.287758
4.15,6,85.319072
4.15,6,85.346647
-3.4,9,85.380261
-3.55,12,85.425259
-3.2,5,85.457945
3.25,12,85.501873
-3.35,8,85.541546
4.3,5,85.581519
3.55,10,85.624239
3.7,9,85.663519
4.45,4,85.691771
3.85,8,85.733202
4.0,7,85.764341
4.45,4,85.792694
-3.35,8,85.826854
4.45,4,85.860098
4.15,6,85.897318
-3.3,7,85.930669
4.45,4,85.961943
-3.05,2,85.9862
-3.6,13,86.027076
-3.4,9,86.062005
4.15,6,86.094801
3.25,12,86.138751
3.25,12,86.312185
4.45,4,86.344258
4.45,4,86.379795
3.7,9,86.419755
-3.15,4,86.446831
4.75,2,86.475035
-3.35,8,86.511982
-3.2,5,86.540633
-3.35,8,86.57817
4.3,5,86.610921
4.3,5,86.645155
-3.15,4,86.675204
-3.4,9,86.7134
-3.15,4,86.745411
-3.25,6,86.786138
3.55,10,86.827349
4.15,6,86.862222
4.45,4,86.894791
4.15,6,86.932293
4.15,6,86.967364
4.3,5,87.006362
4.0,7,87.046144
4.0,7,87.079735
-3.15,4,87.110703
3.7,9,87.153284
-3.45,10,87.19436
4.3,5,87.225269
4.45,4,87.253732
-1.75,15,87.302886
3.25,12,87.338483
3.7,9,87.371606
-3.4,9,87.403534
-3.35,8,87.435049
-3.1,3,87.459483
4.0,7,87.49321
3.7,9,87.531265
4.75,2,87.556442
-3.25,6,87.586512
-3.2,5,87.616563
4.0,7,87.789236
4.15,6,87.822699
-3.25,6,87.861004
-1.75,15,87.913788
4.15,6,87.94982
4.45,4,87.976382
4.0,7,88.011527
4.0,7,88.041808
4.75,2,88.069238
4.75,2,88.091883
4.3,5,88.123928
-3.3,7,88.157091
3.4,11,88.20248
-3.55,12,88.250546
3.4,11,88.296275
-3.7,15,88.348714
4.15,6,88.38493
4.15,6,88.422271
4.15,6,88.455657
4.45,4,88.491959
4.3,5,88.526145
-3.05,2,88.554469
4.3,5,88.593596
3.25,12,88.644034
-3.3,7,88.684613
-3.3,7,88.719949
-3.1,3,88.74858
4.0,7,88.780795
-3.6,13,88.823134
-3.4,9,88.858652
3.85,8,88.90131
4.6,3,88.929154
4.0,7,88.961837
3.55,10,89.000597
4.0,7,89.040167
3.25,12,89.232343
4.45,4,89.267778
3.85,8,89.308371
4.6,3,89.337314
3.25,12,89.379582
3.85,8,89.424802
4.15,6,89.455395
4.15,6,89.4869
4.6,3,89.512434
4.3,5,89.544123
4.15,6,89.58082
-3.05,2,89.609773
-3.1,3,89.635507
4.3,5,89.668261
-3.2,5,89.696417
4.75,2,89.726256
4.0,7,89.759881
-3.45,10,89.801772
4.45,4,89.830176
-3.2,5,89.857987
-3.2,5,89.890886
-3.1,3,89.916529
4.15,6,89.950913
-3.35,8,89.991581
4.0,7,90.02776
4.0,7,90.071941
3.55,10,90.109234
4.0,7,90.144258
-3.4,9,90.179692
-3.45,10,90.224104
3.7,9,90.264949
3.55,10,90.300695
-3.45,10,90.340441
-3.15,4,90.371342
-3.65,14,90.415244
-3.45,10,90.450972
3.4,11,90.490505
4.3,5,90.519666
4.6,3,90.697472
4.15,6,90.73047
4.45,4,90.761778
3.85,8,90.796779
4.45,4,90.824513
-3.15,4,90.855649
4.0,7,90.890402
4.6,3,90.913776
4.6,3,90.939949
3.7,9,90.975588
4.15,6,91.005926
-3.1,3,91.028638
-3.1,3,91.054951
3.7,9,91.091152
3.85,8,91.124599
-3.45,10,91.162282
3.55,10,91.19894
-3.45,10,91.234255
-3.2,5,91.263113
4.9,1,91.285905
4.6,3,91.310099
4.6,3,91.336628
4.6,3,91.360998
4.0,7,91.392059
-3.25,6,91.419983
3.55,10,91.454052
-3.25,6,91.485453
3.55,10,91.526526
-3.5,11,91.572569
-3.15,4,91.608512
4.45,4,91.645133
4.6,3,91.686474
3.7,9,91.742092
3.7,9,91.783161
-3.45,10,91.82605
4.15,6,91.867666
4.0,7,91.904091
4.15,6,91.933797
-3.3,7,91.973093
-3.2,5,92.007027
4.3,5,92.03635
3.85,8,92.218452
4.75,2,92.241078
3.85,8,92.273448
4.6,3,92.298609
4.15,6,92.326297
4.15,6,92.354981
4.45,4,92.384001
4.75,2,92.407965
4.6,3,92.436474
-3.15,4,92.466094
-3.2,5,92.498734
-3.3,7,92.53001
-3.6,13,92.576376
4.3,5,92.605525
-3.35,8,92.636651
-3.1,3,92.66148
-3.25,6,92.693417
-3.25,6,92.726284
-3.15,4,92.752419
4.3,5,92.777681
4.0,7,92.812688
4.45,4,92.842516
4.3,5,92.872235
-3.1,3,92.899924
4.3,5,92.928059
-3.15,4,92.954954
-3.1,3,92.979335
4.45,4,93.009601
-3.15,4,93.035301
4.0,7,93.076724
-3.05,2,93.10344
4.75,2,93.130929
4.0,7,93.166121
-3.4,9,93.205266
3.55,10,93.243792
-3.0,1,93.271397
4.3,5,93.302245
4.0,7,93.342732
4.15,6,93.374178
4.45,4,93.40358
-3.2,5,93.4364
3.25,12,93.477631
4.15,6,93.516463
-3.05,2,93.541005
-3.5,11,93.583366
-3.4,9,93.624704
4.0,7,93.660328
3.85,8,93.861465
4.0,7,93.905112
-3.3,7,93.940516
4.3,5,93.977273
-3.35,8,94.015353
4.15,6,94.054484
3.4,11,94.10671
4.15,6,94.144826
4.45,4,94.172894
4.6,3,94.200581
4.0,7,94.230539
4.45,4,94.263263
4.15,6,94.295471
-3.25,6,94.328046
-3.2,5,94.357739
-3.0,1,94.385008
3.4,11,94.423434
4.45,4,94.451879
4.45,4,94.480025
4.15,6,94.510856
3.85,8,94.543842
4.15,6,94.574619
3.85,8,94.607064
-3.05,2,94.638778
4.0,7,94.675883
4.15,6,94.707209
-3.05,2,94.732875
4.45,4,94.761719
4.45,4,94.791488
3.85,8,94.828557
-3.05,2,94.856833
3.55,10,94.903418
-3.1,3,94.93857
4.0,7,94.982828
4.3,5,95.01835
-3.15,4,95.049508
-3.35,8,95.084835
4.75,2,95.109378
4.0,7,95.152009
3.25,12,95.207069
4.15,6,95.242132
-3.2,5,95.27371
4.3,5,95.313232
3.7,9,95.353522
-3.3,7,95.557312
3.85,8,95.590051
-3.0,1,95.618131
4.75,2,95.65087
-3.1,3,95.680684
-3.05,2,95.707777
-3.15,4,95.740944
4.3,5,95.77346
3.7,9,95.805772
3.7,9,95.839964
-3.4,9,95.873103
3.85,8,95.908875
4.6,3,95.938216
4.15,6,95.968768
-3.35,8,96.002021
4.15,6,96.033126
-3.35,8,96.065916
4.3,5,96.09201
-3.25,6,96.119299
-3.15,4,96.146529
3.85,8,96.179561
3.7,9,96.218807
4.3,5,96.251755
-3.2,5,96.279213
4.0,7,96.314685
-3.15,4,96.343195
4.6,3,96.375269
