#{"t_start": 1787939897.3032408, "env_id": "None"}
r,l,t
3.25,12,46.097977
4.45,4,46.126598
3.55,10,46.165453
-3.25,6,46.196003
4.15,6,46.234024
4.0,7,46.271568
3.85,8,46.309345
3.55,10,46.353381
-1.75,15,46.404372
3.25,12,46.448611
3.4,11,46.494368
4.3,5,46.529919
4.3,5,46.570158
4.0,7,46.605047
4.0,7,46.638441
4.3,5,46.669846
3.7,9,46.705077
4.6,3,46.738447
4.0,7,46.769929
3.25,12,46.815126
4.45,4,46.841898
-1.75,15,46.891272
4.75,2,46.913601
4.75,2,46.936454
3.1,13,46.974781
3.7,9,47.008105
4.15,6,47.040624
3.4,11,47.079022
4.0,7,47.111253
4.75,2,47.134293
4.6,3,47.166909
4.15,6,47.198422
4.75,2,47.223545
4.45,4,47.249755
4.45,4,47.277562
3.4,11,47.461535
4.3,5,47.497029
4.3,5,47.534214
4.0,7,47.568376
3.4,11,47.605573
-3.3,7,47.641331
4.15,6,47.671443
3.7,9,47.705656
3.55,10,47.74175
4.15,6,47.775397
4.6,3,47.805732
4.45,4,47.836852
4.0,7,47.867056
-1.75,15,47.911516
-3.45,10,47.946255
4.3,5,47.979432
-1.75,15,48.029213
4.45,4,48.060237
4.45,4,48.092468
3.7,9,48.12864
4.15,6,48.162671
4.45,4,48.194644
4.45,4,48.224754
4.6,3,48.253157
3.55,10,48.293089
4.75,2,48.321579
3.25,12,48.36871
4.45,4,48.403971
-1.75,15,48.469378
3.85,8,48.51299
3.55,10,48.555397
4.15,6,48.585712
4.6,3,48.612761
4.45,4,48.642579
4.6,3,48.677595
4.3,5,48.711083
3.85,8,48.748046
-1.75,15,48.928704
4.6,3,48.956643
3.85,8,48.987206
3.85,8,49.017439
4.0,7,49.045949
3.55,10,49.083494
4.3,5,49.11292
4.3,5,49.144218
4.45,4,49.173678
4.15,6,49.203713
-1.75,15,49.245286
3.55,10,49.284109
-1.75,15,49.327759
3.4,11,49.369634
4.3,5,49.400246
3.55,10,49.438491
