#{"t_start": 1787938173.2998667, "env_id": "None"}
r,l,t
3.25,12,131.425436
2.95,14,131.474721
4.45,4,131.508922
4.6,3,131.537766
4.15,6,131.573267
-3.3,7,131.607815
4.6,3,131.632555
-3.5,11,131.675089
-1.75,15,131.721148
3.7,9,131.758762
4.15,6,131.793406
4.9,1,131.818906
4.45,4,131.845623
4.6,3,131.872722
3.4,11,132.052545
4.0,7,132.088271
3.7,9,132.1206
4.45,4,132.147654
4.3,5,132.177709
4.3,5,132.209093
3.7,9,132.251117
-1.75,15,132.294504
4.6,3,132.323286
4.45,4,132.349022
4.6,3,132.375457
4.45,4,132.40999
4.15,6,132.44776
4.15,6,132.478824
4.0,7,132.51842
4.75,2,132.544781
3.85,8,132.585068
4.15,6,132.621331
4.45,4,132.653582
3.4,11,132.69485
3.4,11,132.73745
4.15,6,132.775709
4.15,6,132.80746
4.3,5,132.837391
4.6,3,132.864847
4.6,3,132.891632
4.0,7,132.928101
4.6,3,132.958469
4.9,1,132.987296
4.3,5,133.014952
4.15,6,133.04503
4.0,7,133.084759
4.45,4,133.109139
4.75,2,133.134212
4.3,5,133.160849
3.7,9,133.196302
4.3,5,133.22714
4.75,2,133.25189
2.95,14,133.290948
3.85,8,133.324021
4.15,6,133.35433
4.45,4,133.383723
4.6,3,133.408337
3.7,9,133.595765
4.9,1,133.62297
3.85,8,133.655885
4.75,2,133.686949
-3.45,10,133.733142
4.15,6,133.767262
4.3,5,133.800013
4.75,2,133.828379
3.85,8,133.864291
4.75,2,133.891691
4.6,3,133.913978
4.9,1,133.93897
4.75,2,133.959354
4.75,2,133.985739
4.45,4,134.015659
4.6,3,134.040206
-1.75,15,134.088873
4.3,5,134.127265
4.15,6,134.164957
4.75,2,134.194797
3.7,9,134.236015
4.15,6,134.270844
3.7,9,134.310843
4.75,2,134.339683
4.3,5,134.375638
4.6,3,134.407842
4.3,5,134.448813
4.6,3,134.476669
4.45,4,134.507338
4.15,6,134.541808
4.15,6,134.572557
3.7,9,134.610696
3.55,10,134.652826
3.55,10,134.687718
4.15,6,134.718293
3.55,10,134.755727
4.0,7,134.788206
4.75,2,134.810186
4.6,3,134.84104
-3.1,3,134.86773
4.15,6,134.89768
3.85,8,134.931841
3.4,11,134.96867
3.7,9,134.999652
3.85,8,135.032403
4.6,3,135.059681
4.3,5,135.231888
4.3,5,135.259357
4.75,2,135.282092
-3.25,6,135.311344
4.75,2,135.335283
3.85,8,135.36637
4.6,3,135.389465
-3.4,9,135.426261
4.6,3,135.453304
4.6,3,135.478276
4.75,2,135.502909
4.6,3,135.526502
3.1,13,135.566555
4.6,3,135.592905
4.0,7,135.62383
4.45,4,135.65054
4.45,4,135.677082
4.6,3,135.709417
4.0,7,135.744272
4.9,1,135.768913
-1.75,15,135.817023
4.45,4,135.847327
4.75,2,135.875704
3.7,9,135.916431
4.15,6,135.947654
3.85,8,135.982223
4.6,3,136.006874
4.45,4,136.038376
4.75,2,136.067679
3.55,10,136.111247
4.3,5,136.151055
3.55,10,136.190233
4.3,5,136.222479
3.85,8,136.260505
3.55,10,136.298817
3.1,13,136.339844
4.6,3,136.369275
4.6,3,136.395128
3.85,8,136.429507
4.75,2,136.456207
4.15,6,136.489302
-1.75,15,136.53421
4.45,4,136.560754
3.85,8,136.596824
3.85,8,136.785705
4.3,5,136.817951
-1.75,15,136.865726
4.3,5,136.896392
3.85,8,136.928059
4.15,6,136.958086
4.0,7,136.990242
4.45,4,137.017134
3.55,10,137.050342
4.3,5,137.078288
-3.4,9,137.114291
4.45,4,137.146566
4.45,4,137.173663
4.3,5,137.204348
4.75,2,137.2335
3.4,11,137.285365
4.6,3,137.320774
4.6,3,137.351052
4.75,2,137.379105
3.85,8,137.415264
4.3,5,137.45398
4.75,2,137.485837
3.25,12,137.53471
4.3,5,137.573405
4.45,4,137.603119
4.6,3,137.641153
4.6,3,137.672999
4.3,5,137.709925
3.85,8,137.751485
4.45,4,137.781031
4.75,2,137.804645
4.3,5,137.835956
4.75,2,137.860782
4.75,2,137.886521
3.55,10,137.919847
4.15,6,137.946572
4.6,3,137.974408
-1.75,15,138.01653
4.75,2,138.039042
4.75,2,138.061396
4.45,4,138.089821
4.9,1,138.113796
4.45,4,138.141263
4.3,5,138.174946
4.0,7,138.219631
4.45,4,138.250462
3.55,10,138.288068
4.45,4,138.475316
-1.75,15,138.527447
4.75,2,138.552225
4.9,1,138.575056
4.6,3,138.601117
4.3,5,138.626766
3.7,9,138.665197
3.85,8,138.70576
4.3,5,138.741373
4.6,3,138.769336
-1.75,15,138.815921
4.3,5,138.848303
-1.75,15,138.891612
3.85,8,138.926386
3.7,9,138.959902
4.75,2,138.987296
3.55,10,139.034408
4.0,7,139.068383
3.85,8,139.1098
3.85,8,139.149168
4.3,5,139.178259
4.6,3,139.203656
4.9,1,139.234631
-1.75,15,139.296443
-1.75,15,139.343107
4.15,6,139.374228
4.75,2,139.396948
-1.75,15,139.438336
4.0,7,139.469569
3.55,10,139.508835
4.6,3,139.53885
4.3,5,139.56795
4.0,7,139.599516
4.15,6,139.640321
4.75,2,139.666308
4.3,5,139.692878
4.6,3,139.721627
4.0,7,139.891503
3.7,9,139.924676
4.75,2,139.952631
4.75,2,139.974658
4.75,2,140.006495
3.85,8,140.039441
4.75,2,140.065432
4.3,5,140.094438
4.0,7,140.126637
